,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 01월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,-2.2,3.6,-7.4,20.1,61.6,185.4,,,,,,,,,,,
Daegu,대구,0.6,5.5,-3.6,20.6,54.4,193.5,,,,,,,,,,,
Jinju,진주,-0.1,6.6,-5.8,32.9,62.4,191.6,,,,,,,,,,,
Bonghwa,봉화,-3.9,3.2,-10.3,21.1,65.4,182.4,,,,,,,,,,,
Yeongju,영주,-2.9,2.4,-8.2,19.8,61.4,192.5,,,,,,,,,,,
Mungyeong,문경,-2,3,-6.6,22.8,57.5,180.9,,,,,,,,,,,
Uiseong,의성,-3.5,4.3,-10,18,66.6,177.9,,,,,,,,,,,
Gumi,구미,-1.3,4.3,-6.2,20.2,61.2,166.7,,,,,,,,,,,
Yeongcheon,영천,-1,5,-6.4,22.6,58,169.4,,,,,,,,,,,
Geochang,거창,-1.7,5,-7.5,27.9,64.7,193.1,,,,,,,,,,,
Hapcheon,합천,-0.5,6.7,-6.1,21.9,63.4,188.4,,,,,,,,,,,
Miryang,밀양,0,7,-5.8,22.3,60.8,191.7,,,,,,,,,,,
Sancheong,산청,0.1,6,-4.7,28.4,58.5,172.9,,,,,,,,,,,
