,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 02월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,0.2,6.4,-5.3,26.9,60.1,183,,,,,,,,,,,
Daegu,대구,2.9,8.3,-1.6,28.2,53.6,185.2,,,,,,,,,,,
Jinju,진주,2.1,9,-3.9,43,61.8,182.6,,,,,,,,,,,
Bonghwa,봉화,-1.5,6,-8.2,28.4,64,179.3,,,,,,,,,,,
Yeongju,영주,-0.3,5.4,-5.8,28.8,59,192.4,,,,,,,,,,,
Mungyeong,문경,0.4,5.9,-4.7,29.2,55.9,185,,,,,,,,,,,
Uiseong,의성,-0.8,7.1,-7.6,24.8,64.3,177.7,,,,,,,,,,,
Gumi,구미,1.1,7.2,-4.3,28.2,59.2,173.3,,,,,,,,,,,
Yeongcheon,영천,1.2,7.7,-4.5,27.3,58.2,179.5,,,,,,,,,,,
Geochang,거창,0.5,7.5,-5.6,37.5,63,191.9,,,,,,,,,,,
Hapcheon,합천,1.9,9.2,-4.2,34.7,61.5,185,,,,,,,,,,,
Miryang,밀양,2.4,9.4,-3.9,34,59.2,183.2,,,,,,,,,,,
Sancheong,산청,2,8.4,-3.4,43.9,58.7,178.3,,,,,,,,,,,
