,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 03월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,5.3,11.8,-0.5,44.9,59.8,200.6,,,,,,,,,,,
Daegu,대구,7.8,13.5,2.8,47.1,54.1,202.9,,,,,,,,,,,
Jinju,진주,6.8,13.7,0.4,72.1,62.9,196,,,,,,,,,,,
Bonghwa,봉화,3.4,10.9,-3.2,53.1,63.7,198.4,,,,,,,,,,,
Yeongju,영주,4.8,11,-1,54.3,59.1,220.1,,,,,,,,,,,
Mungyeong,문경,5.5,11.5,-0.2,48.6,56.3,210.2,,,,,,,,,,,
Uiseong,의성,4.7,12.6,-2.4,41.5,63.1,200.7,,,,,,,,,,,
Gumi,구미,6.2,12.7,0.3,45.4,58,198,,,,,,,,,,,
Yeongcheon,영천,6,12.8,-0.2,46.9,59.4,203.4,,,,,,,,,,,
Geochang,거창,5.4,12.7,-1.1,55.1,61.9,216.3,,,,,,,,,,,
Hapcheon,합천,6.8,14,0.4,53.2,60,205.4,,,,,,,,,,,
Miryang,밀양,7.2,14.1,0.5,54.4,60.1,205.1,,,,,,,,,,,
Sancheong,산청,6.6,13.4,0.6,68.5,59,207.6,,,,,,,,,,,
