,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 04월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,12.2,19.4,5.2,68.2,56.7,218.7,,,,,,,,,,,
Daegu,대구,14.3,20.6,8.4,62.9,53.2,220.4,,,,,,,,,,,
Jinju,진주,12.8,20,5.9,118.2,65.2,206.7,,,,,,,,,,,
Bonghwa,봉화,9.9,18.4,1.8,75.3,59.6,223.5,,,,,,,,,,,
Yeongju,영주,11.7,18.8,4.4,82.9,55.4,240.3,,,,,,,,,,,
Mungyeong,문경,12.3,19.1,5.4,76.6,53.2,235.3,,,,,,,,,,,
Uiseong,의성,11.5,20.1,3.1,65.9,58.7,222.2,,,,,,,,,,,
Gumi,구미,12.9,20.2,5.8,66.3,55.3,223.7,,,,,,,,,,,
Yeongcheon,영천,12.5,19.8,5,62.4,57,222.7,,,,,,,,,,,
Geochang,거창,11.8,19.6,4.3,75.4,60.7,233.1,,,,,,,,,,,
Hapcheon,합천,13,20.6,5.8,74,58.9,218.8,,,,,,,,,,,
Miryang,밀양,13.1,20.5,5.7,86.3,61,219.8,,,,,,,,,,,
Sancheong,산청,12.7,20,5.9,97.5,58.7,224.2,,,,,,,,,,,
