,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 05월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,17.4,24.2,10.8,91.5,63,224.5,,,,,,,,,,,
Daegu,대구,19.1,25.3,13.5,80,58.7,229.7,,,,,,,,,,,
Jinju,진주,17.6,24.1,11.5,122.8,70.4,208.5,,,,,,,,,,,
Bonghwa,봉화,15.2,23.1,7.6,105.7,65.4,229.6,,,,,,,,,,,
Yeongju,영주,16.9,23.6,10,109.9,61.9,256.2,,,,,,,,,,,
Mungyeong,문경,17.2,23.9,10.6,106.1,61,251.7,,,,,,,,,,,
Uiseong,의성,16.8,24.8,8.8,78.3,62.6,235.4,,,,,,,,,,,
Gumi,구미,18,24.9,11.3,77,60.7,235.6,,,,,,,,,,,
Yeongcheon,영천,17.3,24.5,10.4,87.2,61.9,232.1,,,,,,,,,,,
Geochang,거창,16.7,24.2,9.6,94.9,66.2,244.2,,,,,,,,,,,
Hapcheon,합천,17.9,25,11.2,97.4,63.4,227.1,,,,,,,,,,,
Miryang,밀양,17.8,24.8,11.2,108.7,66,228.8,,,,,,,,,,,
Sancheong,산청,17.5,24.6,11,104.3,64.1,231.6,,,,,,,,,,,
