,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 06월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,21.4,27.4,16.1,136.8,71.3,190.4,,,,,,,,,,,
Daegu,대구,22.8,28.3,18.2,142.6,65.5,183.8,,,,,,,,,,,
Jinju,진주,21.5,27.1,16.8,213,76,159.3,,,,,,,,,,,
Bonghwa,봉화,19.4,26.4,13.2,157.4,70.9,197.2,,,,,,,,,,,
Yeongju,영주,21,27.1,15.4,164.6,69.5,225.3,,,,,,,,,,,
Mungyeong,문경,21.2,27.1,15.8,163.2,69.3,217.4,,,,,,,,,,,
Uiseong,의성,21.2,28.1,14.8,132,67.4,201,,,,,,,,,,,
Gumi,구미,22.1,27.9,16.8,130.3,67.5,198.7,,,,,,,,,,,
Yeongcheon,영천,21.3,27.3,15.9,135.8,68.6,196.8,,,,,,,,,,,
Geochang,거창,20.9,27.2,15.3,174.2,72,203.3,,,,,,,,,,,
Hapcheon,합천,21.9,28,16.6,168.9,69.3,183.7,,,,,,,,,,,
Miryang,밀양,21.9,27.8,16.7,186.3,70.8,185,,,,,,,,,,,
Sancheong,산청,21.4,27.5,16.4,193.9,71.3,189.8,,,,,,,,,,,
