,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 07월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,24.3,29,20.6,244.3,79.3,148.9,,,,,,,,,,,
Daegu,대구,25.8,30.3,22.3,224,73.8,151.3,,,,,,,,,,,
Jinju,진주,25.1,29.3,21.7,300,81.8,150.9,,,,,,,,,,,
Bonghwa,봉화,22.6,28,18.3,296.5,78.3,145.8,,,,,,,,,,,
Yeongju,영주,23.8,28.6,19.8,303.6,78.3,170,,,,,,,,,,,
Mungyeong,문경,23.8,28.6,20,308.7,79.4,166.4,,,,,,,,,,,
Uiseong,의성,24.5,29.9,20,231.2,75.5,161.9,,,,,,,,,,,
Gumi,구미,24.9,29.8,20.9,237.9,76,170.1,,,,,,,,,,,
Yeongcheon,영천,24.6,29.5,20.6,224.4,75.3,172.3,,,,,,,,,,,
Geochang,거창,24,29.3,20,301.4,79.3,176.6,,,,,,,,,,,
Hapcheon,합천,25,29.9,21.2,287.4,76.2,160,,,,,,,,,,,
Miryang,밀양,25.2,29.9,21.4,269.5,78.4,160.5,,,,,,,,,,,
Sancheong,산청,24.6,29.5,20.9,324.8,78.4,171.3,,,,,,,,,,,
