,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 08월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,24.8,29.8,20.9,217.8,78.6,167.1,,,,,,,,,,,
Daegu,대구,26.4,31,22.8,235.9,72.9,165.3,,,,,,,,,,,
Jinju,진주,25.7,30.3,21.9,316.9,81,166.4,,,,,,,,,,,
Bonghwa,봉화,22.8,28.6,18.2,242,77.8,163.6,,,,,,,,,,,
Yeongju,영주,24.2,29.5,20,273.1,78.1,188.8,,,,,,,,,,,
Mungyeong,문경,24.3,29.3,20.3,263.7,78.7,188.1,,,,,,,,,,,
Uiseong,의성,24.8,30.6,20.2,230,75.8,174.9,,,,,,,,,,,
Gumi,구미,25.2,30.4,21.2,237,76,179.8,,,,,,,,,,,
Yeongcheon,영천,25.1,30.3,21,225.3,74.8,187.2,,,,,,,,,,,
Geochang,거창,24.2,29.8,20.2,284.8,79.4,183,,,,,,,,,,,
Hapcheon,합천,25.4,30.7,21.4,294.5,76.3,176.9,,,,,,,,,,,
Miryang,밀양,25.8,31,21.6,237.6,77.2,184.6,,,,,,,,,,,
Sancheong,산청,25,30.3,21.2,366.9,78.1,176.4,,,,,,,,,,,
