,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 09월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,19.8,25.5,15.4,131.9,77.8,150.9,,,,,,,,,,,
Daegu,대구,21.7,26.7,17.6,143.5,71.3,161.1,,,,,,,,,,,
Jinju,진주,21,26.6,16.4,184.5,78.2,159.2,,,,,,,,,,,
Bonghwa,봉화,17.8,24.7,12.4,148.7,76.3,158.2,,,,,,,,,,,
Yeongju,영주,19.1,25.4,14,153.2,75.7,189,,,,,,,,,,,
Mungyeong,문경,19.3,25.3,14.5,141.4,75.4,187.2,,,,,,,,,,,
Uiseong,의성,19.4,26.3,14.1,131.7,75.7,159.5,,,,,,,,,,,
Gumi,구미,20.1,26.2,15.3,146.3,74.6,171.2,,,,,,,,,,,
Yeongcheon,영천,20,26,15.1,135,73.8,167.4,,,,,,,,,,,
Geochang,거창,19.2,25.8,14.2,166,77.6,172,,,,,,,,,,,
Hapcheon,합천,20.7,26.8,16,158,75.5,171,,,,,,,,,,,
Miryang,밀양,21.1,27.1,16.2,136.1,75.2,166.4,,,,,,,,,,,
Sancheong,산청,20.2,26.6,15.7,222.3,76.1,169,,,,,,,,,,,
