,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 10월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,13.2,20.3,7.7,36.9,73.3,181.7,,,,,,,,,,,
Daegu,대구,15.9,21.9,10.8,33.8,64.5,203.2,,,,,,,,,,,
Jinju,진주,14.5,21.9,8.4,45,74,199,,,,,,,,,,,
Bonghwa,봉화,10.9,19.7,4,36.5,73.2,189,,,,,,,,,,,
Yeongju,영주,12.5,19.9,6.2,43.2,70.2,215.3,,,,,,,,,,,
Mungyeong,문경,13.1,20,7.2,41.4,68.5,214.9,,,,,,,,,,,
Uiseong,의성,12.3,21.1,5.5,31.7,73,187.3,,,,,,,,,,,
Gumi,구미,13.6,21.1,7.7,35.4,69.4,194.6,,,,,,,,,,,
Yeongcheon,영천,13.7,21.4,7.4,31.8,68.3,198.8,,,,,,,,,,,
Geochang,거창,12.5,21,6.1,44.3,72.8,200.7,,,,,,,,,,,
Hapcheon,합천,14.2,22.2,8.3,38.3,71.7,202.1,,,,,,,,,,,
Miryang,밀양,14.8,22.5,8.4,39.5,71.3,208.2,,,,,,,,,,,
Sancheong,산청,14,21.9,8.2,48.3,70,197.2,,,,,,,,,,,
