,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 11월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,6.1,12.8,0.6,30.6,68.8,164.7,,,,,,,,,,,
Daegu,대구,9,14.7,4.2,30.5,60.3,180,,,,,,,,,,,
Jinju,진주,7.7,15.3,1.6,45,70.8,174.3,,,,,,,,,,,
Bonghwa,봉화,4,12.2,-2.6,34.6,69.8,172.1,,,,,,,,,,,
Yeongju,영주,5.6,12,-0.2,39.3,66.4,179.7,,,,,,,,,,,
Mungyeong,문경,6.2,12.3,0.9,38.3,63.6,170.7,,,,,,,,,,,
Uiseong,의성,5,13.6,-1.7,31.5,71.4,162.5,,,,,,,,,,,
Gumi,구미,6.8,13.5,1.1,31.9,66.8,158.3,,,,,,,,,,,
Yeongcheon,영천,6.9,14.2,0.7,32.8,65,160.4,,,,,,,,,,,
Geochang,거창,6.1,14,-0.3,35.9,69.3,174.6,,,,,,,,,,,
Hapcheon,합천,7.5,15.3,1.5,32,68.9,174.2,,,,,,,,,,,
Miryang,밀양,8,15.6,1.7,38.2,68.2,181.4,,,,,,,,,,,
Sancheong,산청,7.6,14.9,1.9,38.5,65.3,163.5,,,,,,,,,,,
