,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 월별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년 12월,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhours,,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,0,6,-5.2,16.6,64.4,177.8,,,,,,,,,,,
Daegu,대구,2.9,8.2,-1.5,15.3,56.8,189.7,,,,,,,,,,,
Jinju,진주,2,9.5,-4,19.2,66.2,190.2,,,,,,,,,,,
Bonghwa,봉화,-1.9,5.6,-8.3,18.6,67.3,180.4,,,,,,,,,,,
Yeongju,영주,-0.6,5.1,-5.8,18.3,63.7,184.2,,,,,,,,,,,
Mungyeong,문경,0.3,5.6,-4.5,20,59.7,167.3,,,,,,,,,,,
Uiseong,의성,-1.2,7,-7.6,15.2,69.2,169.6,,,,,,,,,,,
Gumi,구미,0.8,6.9,-4.2,16.8,64.3,159.5,,,,,,,,,,,
Yeongcheon,영천,0.9,7.6,-4.6,15.2,61.3,156.6,,,,,,,,,,,
Geochang,거창,0.4,7.7,-5.6,19.2,67,182.4,,,,,,,,,,,
Hapcheon,합천,1.6,9.2,-4.1,15.2,65.7,182.2,,,,,,,,,,,
Miryang,밀양,1.9,9.4,-4,16.4,64.5,189.1,,,,,,,,,,,
Sancheong,산청,2.1,8.7,-3.1,19.3,60.9,161.1,,,,,,,,,,,
