,우리나라기후평년값,,,,,,,,,,,,,,,,,
,[검색조건],,,,,,,,,,,,,,,,,
,검색구분 : 연별평년값,,,,,,,,,,,,,,,,,
,, 지점명 : 대구,대구(기),구미,문경,봉화,상주,안동,영주,영천,의성,청송군,거창,밀양,산청,의령군,진주,합천
,, 기간 : 1981~2010년,,,,,,,,,,,,,,,,
,Station_Name,Mean_Temperature,High_Temp,Low_Temp,Precipitation,Humidity,Sunhour(hr),,,,,,,,,,,
,지점명,평균기온(°C),최고기온(°C),최저기온(°C),강수량(mm),습도(%),일조시간(hr),,,,,,,,,,,
Andong,안동,11.9,18,6.6,1066.4,67.9,2193.6,,,,,,,,,,,
Daegu,대구,14.1,19.5,9.5,1064.4,61.6,2266,,,,,,,,,,,
Jinju,진주,13.1,19.5,7.6,1512.8,70.9,2184.5,,,,,,,,,,,
Bonghwa,봉화,9.9,17.2,3.6,1217.9,69.3,2223.6,,,,,,,,,,,
Yeongju,영주,11.3,17.4,5.7,1290.9,66.6,2461.5,,,,,,,,,,,
Mungyeong,문경,11.8,17.6,6.6,1259.8,64.9,2373.4,,,,,,,,,,,
Uiseong,의성,11.2,18.8,4.8,1031.7,68.6,2231.2,,,,,,,,,,,
Gumi,구미,12.5,18.7,7.1,1072.5,65.8,2229.6,,,,,,,,,,,
Yeongcheon,영천,12.4,18.8,6.7,1046.8,65.1,2248.9,,,,,,,,,,,
Geochang,거창,11.7,18.7,5.8,1316.8,69.5,2373.7,,,,,,,,,,,
Hapcheon,합천,13,19.8,7.3,1275.6,67.6,2277.7,,,,,,,,,,,
Miryang,밀양,13.3,19.9,7.5,1229.4,67.7,2302.3,,,,,,,,,,,
Sancheong,산청,12.8,19.3,7.6,1556.6,66.6,2244.4,,,,,,,,,,,
