Date,D_ANDO,D_IMHA,D_SUDK,D_YENJ,D_GNWE,D_GMBH,D_YEOC,D_HAPC,D_NAMG,D_MIRY
2006-01-01,27,9,NA,NA,NA,NA,NA,13.2,3.8,1
2006-01-02,27.11,4.8,NA,NA,NA,NA,NA,13.02,8.04,1.01
2006-01-03,27,4.9,NA,NA,NA,NA,NA,13.2,8.4,1.1
2006-01-04,26.9,8.8,NA,NA,NA,NA,NA,13.2,8.4,1.1
2006-01-05,27,5,NA,NA,NA,NA,NA,13.1,8.6,1.1
2006-01-06,26.9,4.8,NA,NA,NA,NA,NA,13.2,8.26,1.13
2006-01-07,27.4,8.4,NA,NA,NA,NA,NA,13.1,8.4,1.13
2006-01-08,27.1,4.78,NA,NA,NA,NA,NA,13.4,8.4,1.13
2006-01-09,27,4.8,NA,NA,NA,NA,NA,14.2,8.4,1.13
2006-01-10,26.9,8.37,NA,NA,NA,NA,NA,13.7,8.28,1.1
2006-01-11,26.9,4.8,NA,NA,NA,NA,NA,13.1,8.4,1.13
2006-01-12,27.1,4.8,NA,NA,NA,NA,NA,13.2,8.4,1.13
2006-01-13,27,8.4,NA,NA,NA,NA,NA,13.1,8.3,1.22
2006-01-14,26.9,4.6,NA,NA,NA,NA,NA,13.4,8.4,0.92
2006-01-15,26.6,4.8,NA,NA,NA,NA,NA,13.5,8.3,1.12
2006-01-16,26.9,8.5,NA,NA,NA,NA,NA,13.3,8.7,1.2
2006-01-17,27,4.8,NA,NA,NA,NA,NA,10,8.4,1.16
2006-01-18,27,4.83,NA,NA,NA,NA,NA,13.1,8.4,1.13
2006-01-19,26.9,8.4,NA,NA,NA,NA,NA,13.3,8.4,1.11
2006-01-20,27.2,4.9,NA,NA,NA,NA,NA,13.3,8.3,1.11
2006-01-21,27.8,4.9,NA,NA,NA,NA,NA,13.3,8.3,1.1
2006-01-22,23.7,8.5,NA,NA,NA,NA,NA,13.4,8.3,1.18
2006-01-23,26.9,4.73,NA,NA,NA,NA,NA,13.3,8.4,1.07
2006-01-24,27.1,4.88,NA,NA,NA,NA,NA,13.2,8.3,1.09
2006-01-25,26.9,8.61,NA,NA,NA,NA,NA,13,8.4,1.11
2006-01-26,27,4.85,NA,NA,NA,NA,NA,13.3,8.3,1.11
2006-01-27,26.8,4.8,NA,NA,NA,NA,NA,13.4,8.4,1.11
2006-01-28,26.6,8.6,NA,NA,NA,NA,NA,13.3,8.4,1.11
2006-01-29,27,4.8,NA,NA,NA,NA,NA,12.9,8.4,1.12
2006-01-30,26.9,4.8,NA,NA,NA,NA,NA,13,8.4,1.03
2006-01-31,27.1,4.76,NA,NA,NA,NA,NA,13.2,8.25,1.07
2006-02-01,27,8.2,NA,NA,NA,NA,NA,13.2,9,1.13
2006-02-02,26.9,4.85,NA,NA,NA,NA,NA,13.2,9,1.1
2006-02-03,26.9,4.82,NA,NA,NA,NA,NA,13.2,9.2,1.11
2006-02-04,27.2,8.55,NA,NA,NA,NA,NA,13.3,9.1,1.1
2006-02-05,27,5.1,NA,NA,NA,NA,NA,13.2,8.9,1.1
2006-02-06,27,4.9,NA,NA,NA,NA,NA,13.2,8.9,1.1
2006-02-07,27,8.5,NA,NA,NA,NA,NA,13.3,9,1.1
2006-02-08,26.8,4.85,NA,NA,NA,NA,NA,13.1,9,1.14
2006-02-09,27.1,4.83,NA,NA,NA,NA,NA,13.1,9,1.13
2006-02-10,27.2,8.32,NA,NA,NA,NA,NA,13.4,9,1.12
2006-02-11,27,4.83,NA,NA,NA,NA,NA,13.3,9,1.1
2006-02-12,26.6,4.85,NA,NA,NA,NA,NA,13.1,9,1.26
2006-02-13,27.2,8.33,NA,NA,NA,NA,NA,13.5,9,1.12
2006-02-14,26.7,4.75,NA,NA,NA,NA,NA,13.3,9,1.1
2006-02-15,26.8,4.68,NA,NA,NA,NA,NA,13,9.1,1.11
2006-02-16,25.9,8.45,NA,NA,NA,NA,NA,13.2,9,1.09
2006-02-17,27,4.83,NA,NA,NA,NA,NA,12.5,9.2,0.68
2006-02-18,27.4,4.85,NA,NA,NA,NA,NA,13.5,9,1.09
2006-02-19,27,8.55,NA,NA,NA,NA,NA,13.2,9.1,1.1
2006-02-20,26.9,4.85,NA,NA,NA,NA,NA,13.1,9,1.1
2006-02-21,27.1,4.77,NA,NA,NA,NA,NA,13.3,9,1.1
2006-02-22,27.1,8.3,NA,NA,NA,NA,NA,13.1,9.1,1.1
2006-02-23,26,4.8,NA,NA,NA,NA,NA,13.2,9,1.1
2006-02-24,26.9,4.76,NA,NA,NA,NA,NA,13.1,9,1.1
2006-02-25,26.8,8.55,NA,NA,NA,NA,NA,13.1,9,1.1
2006-02-26,26.5,4.84,NA,NA,NA,NA,NA,13.2,9,1.1
2006-02-27,26.9,4.79,NA,NA,NA,NA,NA,13.1,9,1.1
2006-02-28,27.2,4.8,NA,NA,NA,NA,NA,13.1,9,1.1
2006-03-01,26.9,8.4,NA,NA,NA,NA,NA,13.1,9.1,1.07
2006-03-02,27.1,4.85,NA,NA,NA,NA,NA,13.4,9.1,1.07
2006-03-03,26.9,4.83,NA,NA,NA,NA,NA,12.9,9,1.08
2006-03-04,27.1,8.36,NA,NA,NA,NA,NA,13.2,9,1.12
2006-03-05,27.1,4.85,NA,NA,NA,NA,NA,13.7,9,1.08
2006-03-06,26.9,4.86,NA,NA,NA,NA,NA,13.1,9.1,1.09
2006-03-07,26.9,8.52,NA,NA,NA,NA,NA,13.1,9,1.12
2006-03-08,27,17.05,NA,NA,NA,NA,NA,13,9,1.12
2006-03-09,27,4.85,NA,NA,NA,NA,NA,13.2,9,1.11
2006-03-10,26.8,4.84,NA,NA,NA,NA,NA,13.5,9.1,1.1
2006-03-11,26.9,7.8,NA,NA,NA,NA,NA,13.2,9.1,1.09
2006-03-12,26.9,4.78,NA,NA,NA,NA,NA,13.2,9,1.08
2006-03-13,27,4.7,NA,NA,NA,NA,NA,13.4,8.98,1.3
2006-03-14,26.8,8.4,NA,NA,NA,NA,NA,13.3,9.2,1.37
2006-03-15,27,4.82,NA,NA,NA,NA,NA,13.1,9,1.1
2006-03-16,27,4.85,NA,NA,NA,NA,NA,13.2,9,1.26
2006-03-17,27.3,8.45,NA,NA,NA,NA,NA,13.2,9.1,1.44
2006-03-18,27.3,4.84,NA,NA,NA,NA,NA,13.4,9,1.25
2006-03-19,26.8,4.79,NA,NA,NA,NA,NA,13.1,9,1.11
2006-03-20,27,8.4,NA,NA,NA,NA,NA,13.1,9.1,1.11
2006-03-21,27.1,4.86,NA,NA,NA,NA,NA,13.2,9,1.09
2006-03-22,27.3,4.83,NA,NA,NA,NA,NA,13.2,9,1.07
2006-03-23,27,7.86,NA,NA,NA,NA,NA,13.3,9,1.11
2006-03-24,26.8,4.79,NA,NA,NA,NA,NA,13.2,9.1,1.11
2006-03-25,26.8,4.81,NA,NA,NA,NA,NA,13.3,9.2,1.11
2006-03-26,26.8,8.43,NA,NA,NA,NA,NA,13.4,9.2,1.11
2006-03-27,26.9,4.74,NA,NA,NA,NA,NA,13.3,9.1,1.11
2006-03-28,27,4.79,NA,NA,NA,NA,NA,13,8.9,1.11
2006-03-29,27,8.41,NA,NA,NA,NA,NA,13.3,9,1.11
2006-03-30,27.1,4.79,NA,NA,NA,NA,NA,13.2,9,1.11
2006-03-31,27,4.73,NA,NA,NA,NA,NA,13.2,9,1.1
2006-04-01,25,8.34,NA,NA,NA,NA,NA,18.2,10.1,1.1
2006-04-02,25.1,4.75,NA,NA,NA,NA,NA,18.3,10.1,1.1
2006-04-03,25.1,4.74,NA,NA,NA,NA,NA,18.4,10.1,1.09
2006-04-04,25,7.84,NA,NA,NA,NA,NA,18.2,10.1,1.12
2006-04-05,24.6,4.84,NA,NA,NA,NA,NA,17.8,10.1,1.11
2006-04-06,25,4.9,NA,NA,NA,NA,NA,18.1,10.1,1.23
2006-04-07,25.7,9.01,NA,NA,NA,NA,NA,19.4,10,1.19
2006-04-08,24.3,4.92,NA,NA,NA,NA,NA,18.4,10.1,1.18
2006-04-09,25,4.92,NA,NA,NA,NA,NA,18.2,10.1,1.2
2006-04-10,25.1,8.61,NA,NA,NA,NA,NA,18.2,10.1,1.13
2006-04-11,25,4.72,NA,NA,NA,NA,NA,18.3,10.1,1.08
2006-04-12,24.9,4.93,NA,NA,NA,NA,NA,18.2,10.1,1.1
2006-04-13,25,8.65,NA,NA,NA,NA,NA,18.2,10.1,1.13
2006-04-14,25.1,4.92,NA,NA,NA,NA,NA,18.3,10.1,0.91
2006-04-15,25,4.93,NA,NA,NA,NA,NA,18.4,10.1,1.07
2006-04-16,25,8.57,NA,NA,NA,NA,NA,18.2,10.1,1.09
2006-04-17,24.8,4.9,NA,NA,NA,NA,NA,18.1,10,1.13
