Date,W1,W2,W3,W4,W5,W6,W7,W8
2010-03-30,40.36,34.5,28.15,18.65,15.25,8.8,5.9,1.2
2010-03-31,40.36,34.5,28.15,18.65,15.2,8.8,5.9,1.2
2010-04-01,40.36,34.67,28.1,18.65,15.4,8.8,6,1.5
2010-04-02,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-03,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-04,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-05,40.79,34.83,28.75,18.95,15.5,9.6,6.5,1.8
2010-04-06,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-07,40.7,34.69,28.55,18.9,15.5,9.2,6.2,1.7
2010-04-08,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-09,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-10,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-11,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-12,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-13,40.52,34.54,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-14,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-15,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-16,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-17,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-18,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-19,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-20,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-21,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-22,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-23,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-24,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-25,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-26,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-27,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-28,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-29,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-04-30,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-01,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-02,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-03,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-04,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-05,40.36,34.48,28.3,18.4,15.4,8.9,5.8,1.4
2010-05-06,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-07,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-08,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-09,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-10,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-11,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-12,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-13,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-14,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-15,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-16,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-17,40.36,34.8,28.5,18.9,15.5,9.2,6.2,1.8
2010-05-18,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-19,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-20,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-21,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-22,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-23,39.98,34.32,28.5,18.9,15,9.2,5.8,1
2010-05-24,39.98,35.83,28.5,18.9,15,9.2,6.9,3.1
2010-05-25,39.98,35.83,28.5,18.9,15.99,10.79,8.12,3.69
2010-05-26,39.98,35.83,28.5,18.9,15.63,10.23,7.52,3.39
2010-05-27,39.98,35.83,28.5,18.9,15.27,9.89,7.02,2.82
2010-05-28,39.98,35.83,28.5,18.9,15.64,9.64,6.61,2.38
2010-05-29,39.98,35.83,28.5,18.9,15.66,9.32,6.31,2.11
2010-05-30,39.98,35.83,28.5,18.9,15.58,9.32,6.18,1.88
2010-05-31,39.98,35.83,28.5,18.9,15.55,9.07,6.13,1.7
2010-06-01,39.98,35.83,28.5,18.9,15.48,9.06,6.08,1.62
2010-06-02,39.98,35.83,28.5,18.9,15.38,8.92,6.04,1.64
2010-06-03,39.98,35.83,28.5,18.9,15.36,8.89,6,1.55
2010-06-04,39.98,35.83,28.5,18.9,15.28,8.85,5.95,1.54
2010-06-05,39.98,35.83,28.5,18.9,15.22,8.79,5.9,1.52
2010-06-06,39.98,35.83,28.5,18.9,15.1,8.72,5.84,1.48
2010-06-07,39.98,35.83,28.5,18.9,15.27,8.58,5.78,1.43
2010-06-08,39.98,35.83,28.5,18.9,15.25,8.83,5.75,1.4
2010-06-09,40.13,35.83,27.95,18.53,15.22,8.78,5.75,1.41
2010-06-10,40.1,35.83,27.94,18.49,15.21,8.76,5.75,1.2
2010-06-11,40.07,35.83,27.93,18.45,15.17,8.75,5.75,1.19
2010-06-12,40.12,35.83,27.94,18.46,15.21,8.7,5.75,1.12
2010-06-13,40.07,35.83,27.98,18.51,15.25,8.78,5.75,1.15
2010-06-14,40.13,35.83,27.93,18.5,15.29,8.79,5.75,1.16
2010-06-15,40.06,35.83,27.93,18.47,15.25,8.92,5.75,1.18
2010-06-16,40.12,35.83,27.95,18.45,15.22,8.86,5.75,1.19
2010-06-17,40.08,35.83,27.96,18.56,15.18,8.8,5.62,1.17
2010-06-18,40.02,35.83,27.97,18.55,15.18,8.79,5.5,1.09
2010-06-19,40.02,35.83,27.97,18.53,15.18,8.81,5.5,1.09
2010-06-20,40.07,35.83,28,18.49,15.19,8.83,5.5,1.1
2010-06-21,39.97,35.83,28,18.28,15.28,8.8,5.5,1.09
2010-06-22,39.88,35.83,27.94,18.21,15.27,8.81,5.5,1.09
2010-06-23,39.78,35.83,27.87,18.09,15.2,8.77,5.5,1.06
2010-06-24,39.74,34.24,27.89,18.01,15.1,8.69,5.5,1.06
2010-06-25,39.72,34.2,27.82,17.87,15.07,8.65,5.5,0.99
2010-06-26,39.85,34.27,27.86,17.91,15.11,8.59,5.49,1.07
2010-06-27,39.85,34.29,27.9,17.96,15.17,8.65,5.48,1.07
2010-06-28,39.78,34.24,27.9,17.94,15.18,8.74,5.49,1.15
2010-06-29,39.76,34.2,27.85,17.89,15.12,8.71,5.5,1.18
2010-06-30,39.62,34.19,27.83,17.86,15.06,8.67,5.5,1.1
2010-07-01,39.74,34.2,27.83,17.85,15.03,8.62,5.5,1.04
2010-07-02,40.09,34.34,27.9,17.92,15.06,8.85,5.49,1.04
2010-07-03,40.25,34.62,28.29,18.21,15.22,9.04,5.49,1.1
2010-07-04,40.1,34.5,28.19,18.24,15.42,9.34,5.5,1.14
2010-07-05,40.06,34.5,28.12,18.14,15.31,9.21,5.51,1.3
2010-07-06,39.92,34.4,28.03,18.09,15.17,9.06,5.53,1.29
2010-07-07,39.84,34.3,27.97,18.04,14.97,9.01,5.54,1.16
2010-07-08,39.8,34.31,27.92,17.98,14.88,8.89,5.54,1.13
2010-07-09,39.9,34.34,27.91,17.94,14.83,8.84,5.54,1.06
2010-07-10,39.78,34.28,27.92,17.98,14.78,8.81,5.54,1.05
2010-07-11,40.16,34.67,28.2,18.4,15.16,10.23,7.35,2.65
2010-07-12,40.1,34.8,28.56,18.68,14.93,10.28,7.27,3.44
2010-07-13,40.11,34.69,28.45,18.56,14.86,9.87,6.54,2.79
2010-07-14,39.92,34.5,28.22,18.36,14.71,9.56,6.05,2.39
2010-07-15,39.74,34.38,28.06,18.16,14.51,9.33,5.96,1.86
2010-07-16,39.7,34.37,27.94,18.1,14.58,9.64,6.13,3.68
2010-07-17,40.6,34.47,27.97,18.21,15.06,11.05,8.96,5.73
2010-07-18,40.54,34.4,28.92,18.89,14.93,10.06,7.04,3.85
2010-07-19,40.2,34.39,28.62,18.67,15.01,10,6.65,2.84
2010-07-20,39.88,34.41,28.25,18.34,14.75,9.67,6.16,2.45
2010-07-21,39.69,34.38,28.03,18.12,14.53,9.33,5.99,1.98
2010-07-22,39.53,34.38,27.89,17.98,14.35,9.09,5.97,1.64
2010-07-23,39.48,34.14,27.8,17.98,14.29,8.99,5.97,1.43
2010-07-24,39.6,34.13,27.79,17.88,14.35,8.98,5.97,1.43
2010-07-25,39.52,34.04,27.83,17.91,14.37,9.05,6.03,1.52
2010-07-26,39.42,34.05,27.78,17.87,14.57,8.95,5.96,1.54
2010-07-27,39.42,34.09,27.74,17.79,14.76,8.81,5.93,1.38
2010-07-28,39.83,34.04,27.89,17.96,14.87,8.54,5.91,1.33
2010-07-29,39.53,34.05,27.88,17.93,14.82,8.54,5.89,1.56
2010-07-30,39.44,34.06,27.81,17.88,14.8,8.92,5.87,1.42
2010-07-31,39.99,34.09,27.73,17.8,14.77,8.81,5.84,1.25
2010-08-01,40.15,34.1,27.68,17.73,14.72,8.7,5.81,1.2
2010-08-02,40.01,34.11,27.62,17.76,14.69,8.72,5.8,1.11
2010-08-03,40.07,34.13,27.55,17.78,14.76,8.94,5.78,1.34
2010-08-04,39.77,34.05,27.62,17.69,14.7,8.77,5.76,1.25
