"","WQ_Station_Name","River.Type","River.Name","Date","pH","DO","BOD","COD","SS","TN","TP","TOC","WT","EC","DTN","NH3N","NO3N","DTP","PO4P","Chlorophyll"
"1","M10","M","ND",2001-01-02,7.6,12.1,3,6.5,11.3,5.454,0.264,NA,2,380,NA,0.588,4.676,NA,NA,NA
"2","T7b","T","KH",2001-01-02,7.5,10.5,4.4,12.5,8.2,13.289,0.744,NA,4,835,NA,1.275,11.078,NA,NA,NA
"3","M9","M","ND",2001-01-02,7.7,12.7,1.5,3.3,8.1,3.545,0.105,NA,2,193,NA,0.336,2.977,NA,NA,NA
"4","M11","M","ND",2001-01-02,7.6,12.7,3,6.3,9.7,5.541,0.263,NA,2,380,NA,0.593,4.759,NA,NA,NA
"5","T11b","T","MR",2001-01-03,7.7,12.9,1.7,4.6,5,3.818,0.185,NA,3,170,NA,0.285,3.188,NA,NA,NA
"6","M15","M","ND",2001-01-03,7.8,12.7,2.6,6.1,7,5.645,0.131,NA,4,240,NA,0.466,3.69,NA,NA,NA
"7","M1","M","ND",2001-01-03,7.4,8.6,0.9,3.2,2.9,1.69,0.032,NA,6,123,NA,0.061,1.555,NA,NA,NA
"8","T11a","T","MR",2001-01-03,7.8,12.1,1.1,2.7,3.5,2.916,0.022,NA,4,160,NA,0.079,2.891,NA,NA,NA
"9","M6","M","ND",2001-01-04,7.6,13.2,1.1,2.2,5,2.969,0.08,NA,0,130,NA,0.1,2.793,NA,NA,NA
"10","M4","M","ND",2001-01-04,7.4,13.5,1,3,7.6,2.998,0.074,NA,0,130,NA,0.108,2.812,NA,NA,NA
"11","M5","M","ND",2001-01-04,7.3,12.4,1.2,4.4,13.8,3.378,0.134,NA,0,150,NA,0.25,3.047,NA,NA,NA
"12","T5a","T","WE",2001-01-09,7.4,13.6,0.9,2.8,2.9,5.296,0.078,NA,3,250,NA,0.128,4.901,NA,NA,NA
"13","T9a","T","HG",2001-01-09,7.9,11.6,0.4,3,11.6,1.637,0.257,NA,7,87,NA,0.018,0.849,NA,NA,NA
"14","T8a","T","HO",2001-01-12,7.9,14,1.3,2.8,3.7,3.167,0.086,NA,3,97,NA,0.253,2.826,NA,NA,NA
"15","T3b","T","YG",2001-01-18,7.8,9.3,1.2,3.8,2.9,2.995,0.082,NA,2,330,NA,0.007,2.441,NA,NA,NA
"16","T3a","T","YG",2001-01-18,7.8,11.3,1,1.8,2,2.4,0.029,NA,2,315,NA,0.024,1.284,NA,NA,NA
"17","M8","M","ND",2001-01-22,7.5,13.1,1.5,3.8,4.6,3.92,0.117,NA,5,245,NA,0.8,2.892,NA,NA,NA
"18","M7","M","ND",2001-01-22,7.5,12.8,1.5,4.3,7.4,3.938,0.13,NA,5,220,NA,0.825,2.88,NA,NA,NA
"19","M14","M","ND",2001-01-27,7.1,12.5,2,5.4,9.9,5.124,0.141,NA,2,213,NA,0.527,4.266,NA,NA,17.8
"20","T7a","T","KH",2001-01-29,7.7,11.5,4.7,9.6,5.3,12.041,0.731,NA,5,435,NA,1.001,10.512,NA,NA,NA
"21","M10","M","ND",2001-02-06,7.8,12.3,2.9,7.5,12,5.814,0.289,NA,3,363,NA,0.894,4.739,NA,0.195,7.1
"22","T7b","T","KH",2001-02-06,7.6,11,4.9,14.2,8.4,12.399,0.798,NA,5,740,NA,1.576,9.991,NA,0.671,18.4
"23","M9","M","ND",2001-02-06,7.9,13.8,1.4,4.3,6.5,3.649,0.118,NA,2,188,NA,0.472,2.978,NA,NA,NA
"24","T5a","T","WE",2001-02-06,7.8,13.2,1.1,2.4,1.2,5.165,0.058,NA,5,280,NA,0.2,4.828,NA,NA,NA
"25","M11","M","ND",2001-02-06,7.8,13.1,2.9,7.5,9.5,5.924,0.299,NA,3,360,NA,0.93,4.857,NA,NA,NA
"26","M6","M","ND",2001-02-08,7.9,13,1.1,3.4,3.1,2.927,0.06,NA,3,120,NA,0.127,2.616,NA,NA,NA
"27","M4","M","ND",2001-02-08,7.8,13.2,1.1,3.6,2.9,3.04,0.056,NA,2,120,NA,0.125,2.79,NA,NA,NA
"28","M5","M","ND",2001-02-08,7.8,12.8,1,3.4,2.8,2.998,0.05,NA,3,130,NA,0.147,2.642,NA,NA,NA
"29","T7a","T","KH",2001-02-08,7.9,12.2,7.8,12.6,6.6,11.533,0.883,NA,6,413,NA,1.527,9.001,NA,0.688,14.2
"30","T9a","T","HG",2001-02-09,8.3,14.2,0.7,3.2,18.6,1.511,0.024,NA,4,90,NA,0.008,1.026,NA,NA,NA
"31","T8a","T","HO",2001-02-09,8.2,14.7,1.3,3.6,2.7,2.969,0.061,NA,5,100,NA,0.265,2.478,NA,NA,NA
"32","T3b","T","YG",2001-02-15,7.9,14.1,1,2.5,1.4,2.337,0.005,NA,3,254,NA,0.003,1.737,NA,NA,NA
"33","T3a","T","YG",2001-02-15,8.1,15.5,1.4,3.3,2.6,2.63,0.024,NA,4,277,NA,0.006,2.587,NA,NA,NA
"34","M14","M","ND",2001-02-22,7.6,13.3,2.3,6.1,8,5.287,0.283,NA,4,241,NA,0.492,4.159,NA,NA,21.3
"35","M8","M","ND",2001-02-26,7.8,12.3,1.4,3.7,5.4,3.573,0.079,NA,3,175,NA,0.628,2.822,NA,NA,NA
"36","M7","M","ND",2001-02-26,7.8,12.6,1.5,4.1,6.7,3.747,0.096,NA,3,185,NA,0.662,2.774,NA,NA,NA
"37","T11b","T","MR",2001-02-27,6,14.2,1.8,5.6,6,4.206,0.157,NA,4,170,NA,0.116,3.604,NA,NA,NA
"38","M15","M","ND",2001-02-27,7.3,15.3,2.7,5.8,7,4.92,0.155,NA,3,270,NA,0.338,4.045,NA,NA,NA
"39","M1","M","ND",2001-02-27,7.7,11.2,0.9,3.6,1.7,1.598,0.035,NA,4,125,NA,0.042,1.472,NA,0.024,3.8
"40","T11a","T","MR",2001-02-27,7.2,14.1,1.3,4.2,3,3.954,0.048,NA,4,150,NA,0.042,2.618,NA,NA,NA
"41","T7a","T","KH",2001-03-02,7.9,11.4,7.4,10.2,10.5,8.844,0.767,NA,9,333,NA,0.631,7.188,NA,0.098,3.7
"42","M9","M","ND",2001-03-05,8,11.9,2,4.7,13.7,3.866,0.103,NA,6,168,NA,0.453,3.166,NA,0.044,4.4
"43","T11b","T","MR",2001-03-05,6.9,12.5,0.9,3.2,10.5,3.923,0.084,NA,8,100,NA,0.104,3.506,NA,0.03,3.2
"44","M15","M","ND",2001-03-05,7.2,12.7,1.7,4.8,28.5,3.986,0.115,NA,7,140,NA,0.174,3.077,NA,0.056,10.2
"45","T11a","T","MR",2001-03-05,7.2,13.5,1.4,3.3,17.5,3.587,0.065,NA,8,100,NA,0.095,3.522,NA,0.021,4.2
"46","M11","M","ND",2001-03-05,7.9,11.8,3.8,6.9,16.8,5.232,0.24,NA,8,300,NA,0.758,4.102,NA,0.098,4.3
"47","T5a","T","WE",2001-03-06,7.8,12.3,1.6,4.4,11.9,5.778,0.114,NA,6,180,NA,0.333,4.231,NA,0.058,1.5
"48","T9a","T","HG",2001-03-06,8.2,11.6,0.5,2.5,8.4,1.721,0.014,NA,9,106,NA,0.034,1.109,NA,NA,2.3
"49","M6","M","ND",2001-03-08,7.8,12.8,1.2,3,11,3.316,0.051,NA,4,120,NA,0.09,2.812,NA,0.047,1
"50","M4","M","ND",2001-03-08,7.9,12.6,1,2.6,9.5,3.652,0.049,NA,4,130,NA,0.108,2.985,NA,0.046,1.4
"51","M5","M","ND",2001-03-08,7.9,12.6,1.1,3,8.8,3.791,0.071,NA,4,120,NA,0.307,2.968,NA,0.051,1.6
"52","T8a","T","HO",2001-03-09,7.8,12.9,1.1,2.2,3.4,3.049,0.049,NA,6,79,NA,0.228,2.6,NA,0.04,0.7
"53","T3b","T","YG",2001-03-15,7.9,12.3,0.9,2.5,1.4,3.418,0.034,NA,5,285,NA,0,3.1,NA,0.023,0.4
"54","T3a","T","YG",2001-03-15,7.9,12.7,0.5,2.6,1.8,3.734,0.01,NA,5,270,NA,0,3.6,NA,0.009,0.2
"55","M14","M","ND",2001-03-20,7.6,14.1,2.8,6,19.4,4.387,0.162,NA,7,208,NA,0.446,3.363,NA,0.093,27.2
"56","M8","M","ND",2001-03-22,7.9,12.3,1.6,4,10.2,4.146,0.05,NA,6,195,NA,0.771,2.738,NA,0.046,1.5
"57","M7","M","ND",2001-03-22,7.9,13.2,1.8,4.4,9.4,4.303,0.13,NA,6,225,NA,0.969,2.567,NA,0.115,1.6
"58","M10","M","ND",2001-03-26,7.8,11.9,3.9,7.5,17.1,5.309,0.266,NA,6,308,NA,1.029,4.004,NA,0.13,6.7
"59","T7b","T","KH",2001-03-26,7.6,10.1,6.1,12.9,13.5,13.396,0.488,NA,7,570,NA,1.502,10.077,NA,0.2,7.6
"60","M1","M","ND",2001-03-27,7.8,11.9,1,3.7,2.1,1.928,0.028,NA,5,150,NA,0.054,1.61,NA,0.04,1.8
"61","M9","M","ND",2001-04-02,8.8,13.5,2.9,7.4,17.1,2.914,0.046,NA,14,233,NA,0.098,2.223,NA,NA,NA
"62","M11","M","ND",2001-04-02,9.1,13.1,5.8,12.1,26,5.251,0.176,NA,15,515,NA,0.091,4.417,NA,NA,NA
"63","M6","M","ND",2001-04-09,8.4,11.7,1.5,3.8,7.2,2.478,0.003,NA,19,170,NA,0.052,2.227,NA,NA,NA
"64","M4","M","ND",2001-04-09,8.1,10.6,1.5,3.8,6.3,2.545,0.017,NA,18,170,NA,0.047,2.256,NA,NA,NA
"65","M5","M","ND",2001-04-09,8.1,10.2,1.3,3.6,5.9,2.612,0.017,NA,18,170,NA,0.052,2.305,NA,NA,NA
"66","T5a","T","WE",2001-04-10,8.3,11.6,1.7,3.4,3.8,2.989,0.012,NA,21,260,NA,0.057,2.747,NA,NA,NA
"67","T3b","T","YG",2001-04-11,9,13.7,2.1,2.1,7,2.368,0.077,NA,18,221,NA,0.119,1.8,NA,NA,NA
"68","T3a","T","YG",2001-04-11,7.8,11.1,1,1.4,7,2.296,0.014,NA,17,220,NA,0.105,1.4,NA,NA,NA
"69","T9a","T","HG",2001-04-11,7.7,9.5,0.5,2.5,17.9,1.553,0.042,NA,14,89,NA,0.023,1.2,NA,NA,NA
"70","M14","M","ND",2001-04-20,8.8,13.7,4.5,7.2,19.8,4.178,0.169,NA,15,282,NA,0.072,3.206,NA,0.031,96.5
