Grades,River.Type,Catchments,River.Name,Site (Name_2018),2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Site Code,Lon,Lat
1,M,ND_Andong_UP,Hwangji Cheon,Jangsung (Taebaek Munhwa gyo),,,,,51,,,53,58,59,60,63,66,HM1,129.0172222,37.09583333
1,M,ND_Andong_UP,ND,Buncheon (Bonghwa Buncheon gyo),,,,,52,,50,54,59,60,,64,67,HM2,129.0566667,36.93027778
1,M,ND_Andong_UP,ND,Docheon (Bonghwa Punghori),,,,,69,48,80,82,88,90,89,95,98,HM3,128.8888889,36.84611111
4,Undistributed,,Woongok,Woongok,,,,,53,,51,,,,,,,,,
,,ND,Micheon,Woonsan (Andong Woonsanri),,,,,54,,,56,62,64,63,68,71,,,
1,T,BB,BB,Singu (Yeongyang Cheongam gyo),,,,,,,,,,61,61,65,68,HT_BB1,129.085,36.59722222
1,T,BB,Gil-an cheon,Daesa (Andong Daesa3),,,,,,,,,61,63,62,67,70,HT_BB2,128.9591667,36.36611111
1,T,BB,Gil-an cheon,Gil-an (Andong Mukgyeo gyo),,,,34,,49,52,55,60,62,,66,69,HT_BB3,128.9108333,36.43166667
4,Undistributed,,Geum cheon,Sanyang,,,,35,,,58,63,69,71,,,,,,
1,M,ND,ND,Gudam (Yecheon Gudam gyo),,29,,,55,50,53,57,63,65,64,69,72,HM4,128.4625,36.54027778
4,Undistributed,,,Jibo,,30,31,,,,,,,,,,,,,
,,NS,Seo Cheon,Wolho (Yeongju Wolho gyo),,31,32,,,,,59,65,67,66,71,74,,,
,,NS,NS,Bonghwa (Bonghwa daegyo),,,,,,,,58,64,66,65,70,73,,,
1,T,NS,NS,Joje (Yeongju Seoktap gyo),,,33,,,51,55,60,66,68,67,72,75,HT_NS1,128.5997222,36.71638889
4,Undistributed,,,Miho,,,34,,,,,,,,,,,,,
1,T,NS,NS,Wolpo (Yecheon Gopyeong gyo),,32,,,56,52,56,61,67,69,68,73,76,HT_NS2,128.4877778,36.61944444
1,T,NS,NS,Hyangseok (Yecheon Hoeryong gyo),,,35,,57,53,57,62,68,70,69,74,77,HT_NS3,128.3194444,36.58611111
4,,,,Yecheon,,33,,,,,,,,,,,,,,
,,YG,YG,Galma (Mungyeong Galma gyo),,,,,,,,64,70,72,70,75,78,,,
1,T,YG,YG,Jeomchon (Mungyeong Gimyongri),,34,,36,58,54,59,65,71,73,71,76,79,HT_YG1,128.2166667,36.58944444
4,Undistributed,,Ian cheon,Ian,,35,,,,,60,,,,,,,,,
4,Undistributed,,,Maleung,,36,36,,,,,,,,,,,,,
4,Undistributed,,BS,Gajang,,,,,59,,62,,,,,,,,,
4,Undistributed,,Bookcheon,Sangju,,,,,60,,63,,,,,,,,,
4,Undistributed,,,Byungseong,,,,37,,,,,,,,,,,,
4,Undistributed,,,Dalji,,,,38,,,,,,,,,,,,
1,M,ND,ND,Sabeol (Yecheon Sangpung gyo),,,,39,62,55,,67,73,75,73,78,81,HM5,128.2686111,36.49861111
1,T,BS,BS,Dongmoon (Sangju Hwagye gyo),,,,,61,56,64,66,72,74,72,77,80,HT_BS1,128.1877778,36.42027778
1,M,ND,ND,Sangju Gangchang gyo,,,,,,,,,,,,79,82,HM6,128.2444444,36.40972222
,T,WE,Ssanggye Cheon,Deokeun (Uiseong Deokeun gyo),,,,,,,,68,74,76,74,80,83,,,
,Undistributed,,,Hyoryung,,,,40,,,,,,,,,,,,
