76. ?? ?????,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"(Museong Discharge Station, 2008550)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016 ????????,,,,,,,,,,,,,,,,,,,,,?????(MOLIT),,,,,,,,,,
"(Korea Annual Hydrological Report, 2016yr)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nakdong River,,,,,,,,,,,,,,,,,,,,,,,,"??? : ??, ???? : 472.69 ?   ?? : ?/s ",,,,,,,
"  Month
?     ?
Date",1?,,2?,,3?,,4?,,5?,,6?,,7?,,8?,,9?,,10?,,11?,,12?,, ,,,,,,
,Jan.,,Feb.,,Mar.,,Apr.,,May,,Jun.,,Jul.,,Aug.,,Sep.,,Oct.,,Nov.,,Dec.,,  ,,,,,,
1,0.91,,0.48,,0.83,,0.76,,7.51,,0.76,,1.57,,2.62,,1.42,,5.21,,2.46,,1.85,,,,,,,,
2,0.91,,0.48,,0.71,,0.75,,5.99,,0.66,,17.19,,3.78,,2.15,,5.43,,2.37,,1.77,,,,,,,,
3,0.91,,0.53,,0.63,,0.75,,4.80,,0.83,,14.49,,3.41,,21.40,,5.86,,2.22,,1.77,,,,,,,,
4,0.87,,0.55,,0.60,,0.99,,4.88,,0.85,,19.48,,3.72,,16.33,,7.36,,2.07,,1.66,,,,,,,,
5,0.83,,0.48,,0.66,,1.20,,3.82,,1.29,,34.46,,2.80,,9.88,,65.39,,1.94,,1.59,,,,,,,,
6,0.83,,0.48,,7.09,,1.20,,2.88,,1.27,,160.39,,2.14,,7.74,,48.87,,1.88,,1.59,,,,,,,,
7,0.83,,0.48,,8.44,,16.12,,2.36,,1.43,,179.34,,1.59,,5.25,,21.73,,1.70,,1.54,,,,,,,,
8,0.79,,0.48,,5.80,,17.04,,1.85,,1.59,,52.31,,1.42,,3.84,,55.64,,1.57,,1.43,,,,,,,,
9,0.75,,0.48,,4.26,,9.20,,1.53,,1.59,,22.56,,1.64,,3.73,,35.66,,1.57,,1.43,,,,,,,,
10,0.75,,0.48,,3.28,,6.76,,1.50,,1.59,,14.24,,1.75,,4.05,,19.81,,1.52,,1.43,,,,,,,,
11,0.72,,0.48,,2.71,,5.09,,3.33,,1.48,,10.72,,1.45,,3.55,,14.07,,1.39,,1.43,,,,,,,,
12,0.67,,0.48,,2.45,,3.41,,3.83,,1.59,,9.25,,0.94,,3.16,,10.98,,1.39,,1.43,,,,,,,,
13,0.67,,0.61,,2.46,,3.38,,3.09,,1.74,,7.31,,0.63,,3.24,,9.20,,1.39,,1.43,,,,,,,,
14,0.67,,1.07,,1.92,,4.54,,2.08,,1.83,,5.10,,0.60,,2.72,,7.62,,1.39,,1.34,,,,,,,,
15,0.67,,1.61,,1.71,,3.71,,1.51,,1.90,,4.40,,0.70,,2.36,,6.27,, ,,1.27,,,,,,,,
16,0.66,,1.62,,1.35,,2.95,,3.31,,2.16,,4.39,,0.70,,2.18,,5.68,, ,,1.25,,,,,,,,
17,0.60,,1.40,,1.15,,3.76,,6.08,,2.63,,5.19,,0.70,,156.81,,7.91,,1.77,,1.13,,,,,,,,
18,0.60,,1.29,,0.84,,5.15,,3.59,,1.91,,3.72,,0.62,,85.64,,6.92,,1.81,,1.13,,,,,,,,
19,0.85,,1.16,,2.15,,4.39,,1.82,,1.74,,2.97,,0.52,,30.80,,5.83,,2.34,,1.13,,,,,,,,
20,0.69,,1.07,,1.58,,3.14,,0.86,,1.94,,2.43,,0.53,,18.63,,5.16,,2.37,,1.13,,,,,,,,
21,0.67,,1.00,,1.42,,6.89,,0.54,,1.84,,2.30,,0.50,,12.99,,4.57,,2.37,,1.13,,,,,,,,
22,0.78,,0.94,,1.34,,13.91,,0.45,,2.28,,2.03,,0.42,,10.18,,4.08,,2.22,,1.95,,,,,,,,
23,0.63,,0.88,,1.31,,9.31,,0.38,, ,,1.61,,0.39,,8.44,,3.80,,2.15,,4.12,,,,,,,,
24,0.80,,0.83,,1.23,,6.84,,0.45,, ,,1.28,,0.44,,6.72,,3.50,,2.02,,3.53,,,,,,,,
25,0.60,,0.83,,1.20,,4.98,,1.98,,2.17,,1.18,,0.45,,5.49,,3.11,,1.95,,2.82,,,,,,,,
