No,Region,Type,City,Address,Name,Capacity,시설용�,시설��_1,유입하�,유입��_1,유입��_2,처리량(,처리량_,유입��_3,유입��_4,유입(원,방류BOD,유입(�_1,방류COD,유입(�_2,방류T-N,유입(�_3,방류T-P,유입총�,방류총�,처리효�,처리부�,처리방�,적용신�,연계처�,연계��_1,연계��_2,연계��_3,Date,가동개�,사업비(,운영주�,위탁업�,위탁비�,위탁계�,위탁범�,방류수�,방류��_1,방류��_2,방류��_3,방류��_4,고도처�,재생에�,연간총�,하수처�,Lon,Lat,Status
"1","1",공공,대구광역시 북구,대구광역시 북구 조야로2길 209,신천하수처리장,"680000",,"680000",507066.000000000000000,,"507066",479188.000000000000000,,,"479188",117.900000000000006,0.800000000000000,53.399999999999999,6.500000000000000,25.128000000000000,9.192000000000000,2.577000000000000,0.093000000000000,"152459","116",99.299999999999997,59377.400000000001455,혐기/무산소/호기조합법+고속응집침전+기계식여과,,,,,"416",1993-06-30,93.6.30,"301599",공기업,대구환경공단,"15924",2013.2.1~2018.1.31,"하수처리,관거,펌프장",,금호강,금호강,낙동강,II지역,"100",17.039999999999999,"35698287","35",128.590615299999996,35.906968030000002,인근좌표
"2","1",공공,대구광역시 달서구,대구광역시 달서구 달서대로 210,서부하수처리장,"520000",,"520000",428700.000000000000000,,"428700",381830.000000000000000,,,"381830",206.900000000000006,0.700000000000000,134.099999999999994,6.400000000000000,44.404000000000003,8.753000000000000,7.543000000000000,0.074000000000000,"206404","103",99.700000000000003,88397.899999999994179,혐기/무산소/호기조합법+고속응집침전+오존,,1303.000000000000000,,,,1997-12-15,,"262177",공기업,대구환경공단,"13356",2013.2.1~2018.1.31,"하수처리,분뇨처리,관거,펌프장",,대명천,낙동강,낙동강,II지역,"100",1.500000000000000,"36553392","45",128.502009600000008,35.819217109999997,인근좌표
"3","1",공공,대구광역시 서구,대구광역시 서구 비산동 3048,달서천하수처리장,"400000",,"400000",234651.000000000000000,,"234651",189195.000000000000000,,,"189195",53.700000000000003,2.300000000000000,62.899999999999999,8.800000000000001,19.103000000000002,7.735000000000000,2.367000000000000,0.114000000000000,"46424","10",95.700000000000003,12061.100000000000364,혐기/무산소/호기조합법+고속응집침전+오존,,883.000000000000000,,1155.000000000000000,,1987-07-12,87.7.12,"198906",공기업,대구환경공단,"13456",2013.2.1~2018.1.31,"하수처리,분뇨처리,침출수전처리,관거",오존,달서천,금호강,낙동강,II지역,"100",8.600000000000000,"43743636","108",128.540755600000011,35.885543259999999,정좌표
"4","1",공공,대구광역시 서구,대구광역시 서구 비산동 3442-3,북부하수처리장,"170000",,"170000",115042.000000000000000,,"115042",102528.000000000000000,,,"102528",206.000000000000000,1.000000000000000,110.500000000000000,6.700000000000000,40.786000000000001,7.305000000000000,4.507000000000000,0.055000000000000,"251625","111",99.500000000000000,23583.599999999998545,혐기/무산소/호기조합+urc+섬유디스크필터,,,,,,1997-12-02,,"102644",공기업,대구환경공단,"5341",2013.2.1~2018.1.31,"하수처리관거,펌프장",,달서천,금호강,낙동강,II지역,"100",5.300000000000000,"11202309","51",128.536755999999997,35.886615419999998,정좌표
"5","1",공공,대구광역시 동구,대구광역시 동구 금호강변로 91,안심하수처리장,"47000",,"47000",38052.000000000000000,,"38052",37056.000000000000000,,,"37056",133.300000000000011,0.400000000000000,72.700000000000003,4.700000000000000,34.240000000000002,6.640000000000000,3.500000000000000,0.050000000000000,"207314","55",99.700000000000003,5057.100000000000364,혐기/무산소/호기조합법+URC+모래여과,,,,,,2002-06-15,02.6.15,"72480",공기업,대구환경공단,"2209",2013.2.1~2018.1.31,하수처리관거펌프장,,금호강,금호강,낙동강,II지역,"100",2.300000000000000,"8000568","101",128.681400300000007,35.868630449999998,정좌표
"6","1",공공,대구광역시 수성구,대구광역시 수성구 무학로112,지산하수처리장,"33750",,"33750",22374.000000000000000,,"22374",21295.000000000000000,,,"21295",209.199999999999989,0.500000000000000,110.799999999999997,4.900000000000000,40.725000000000001,6.858000000000000,4.505000000000000,0.040000000000000,"275650","45",99.799999999999997,4669.500000000000000,혐기/무산소/호기조합법+URC+모래여과,,,,,,2002-06-15,02.6.15,"58894",공기업,대구환경공단,"1881",2013.2.1~2018.1.31,"하수처리,관거",,신천,금호강,낙동강,II지역,"100",,"5145876","113",128.620577300000008,35.829374379999997,정좌표
"7","1",공공,대구광역시 달성군,대구광역시 달성군 현풍읍 현풍서로147,현풍하수처리장,"23000",,"23000",25907.000000000000000,,"25907",22981.000000000000000,,,"22981",139.300000000000011,1.800000000000000,180.800000000000011,17.000000000000000,36.060000000000002,7.363000000000000,5.480000000000000,0.050000000000000,"136986","28",98.700000000000003,3562.199999999999818,혐기/무산소호기조합법+응집섬유디스크필터법,,,,,,2009-09-01,,"63251",공기업,대구환경공단,"3624",2013.2.1~2018.1.31,"하수처리관거,펌프장",자외선,차천,낙동강,낙동강,II지역,"100",,"9969641","202",128.423083700000007,35.691086970000001,정좌표
"8","1",마을,대구광역시 달성군,대구광역시 달성군 하빈면 기곡리294,하빈상당(500㎥/일미만),"35",,"35",17.100000000000001,,"17.1",17.100000000000001,,,"17.1",82.900000000000006,5.400000000000000,44.700000000000003,5.700000000000000,31.000000000000000,19.199999999999999,3.500000000000000,2.400000000000000,"6517","82",93.500000000000000,1.300000000000000,고농축현수미생물접촉폭기식,,,,,,2002-04-16,02.4.16~,"340",민간위탁,㈜대일환경기술,"5.9",15.3~'17.12,소규모하수처리시설,오존소독,하빈천,낙동강,낙동강,,"100",,"5069","138",128.451474700000006,35.930544980000001,정좌표
"9","1",마을,대구광역시 달성군,대구광역시 달성군 현풍읍 자모리 242,현풍자모(500㎥/일미만),"55",,"55",33.000000000000000,,"33",33.000000000000000,,,"33",38.899999999999999,2.900000000000000,27.800000000000001,3.700000000000000,22.300000000000001,13.600000000000000,2.800000000000000,1.300000000000000,"939","46",92.500000000000000,1.200000000000000,C.B.T연속유입주기식활성슬러지공법,,,,,,2004-12-22,,"497",민간위탁,㈜대일환경기술,"9.8",15.3~'17.12,소규모하수처리시설,오존소독,자모천,낙동강,낙동강,,"100",,"10360","146",128.393763699999994,35.692172739999997,정좌표
"10","1",마을,대구광역시 달성군,대구광역시 달성군 구지면 오설리 457-1,구지오설(500㎥/일미만),"55",,"55",14.000000000000000,,"14",14.000000000000000,,,"14",51.000000000000000,1.900000000000000,25.500000000000000,3.400000000000000,22.399999999999999,11.699999999999999,3.000000000000000,1.400000000000000,"1128","41",96.299999999999997,0.700000000000000,막분리공법,,,,,,2005-02-27,05.2.27,"497",민간위탁,㈜대일환경기술,"13.1",15.3~'17.12,소규모하수처리시설,오존소독,오설천,낙동강,낙동강,,"100",,"27045","901",128.366320000000002,35.681060709999997,정좌표
