Station_Code,Start_Date,End_Date,Name,Address,Admin,Lat,Lon,Altitude,AirPressure_height,Temp_height,Wind_height,Precipitation_height
지점,시작일,종료일,지점명,지점주소,관리관서,위도,경도,노장해발고도(m),기압계(관측장비지상높이(m)),기온계(관측장비지상높이(m)),풍속계(관측장비지상높이(m)),강우계(관측장비지상높이(m))
135,1937-01-11,,추풍령,충청북도 영동군추풍령면 관리길25-15 추풍령지역기상서비스센터 ,청주기상대(131),36.2203,127.9946,244.98,246.18,1.6,10,1.1
136,1983-01-01,,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,안동기상대(136),36.5729,128.7073,141.26,142.76,1.8,10,1.3
136,1973-01-01,1978-05-01,안동,경상북도 안동시열루재1길 16(운안동433-1) 안동기상대 ,,36.573,128.7073,139.39,141.4,1.5,10,0.6
137,2002-01-01,,상주,경상북도 상주시남산2길 322상주지역기상서비스센터  ,대구(구 143),36.4084,128.1574,96.58,97.98,1.8,10,1.4
143,2017-08-25,,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.878,128.653,54.27,55.52,1.8,10,0.6
143,1907-01-31,2017-08-25,대구,대구광역시 동구 효동로2길 10대구지방기상청 (효목동),대구(구 143),35.8282,128.6522,53.4,54.9,1.8,10,0.6
176,2013-10-10,2015-06-11,대구(기),,대구기상대(176),35.8782,128.6522,49,50.2,1.8,10,0.6
192,2005-11-23,,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,창원기상대(155),35.1638,128.04,30.21,31.6,1.8,10,1.3
192,1969-03-01,2005-11-23,진주,경상남도 진주시남강로 43진주지역기상서비스센터  ,,35.2084,128.1191,21.32,22.64,1.5,10,0.6
263,2010-06-21,,의령군,경상남도 의령군의합대로 44-54의령종합환경관리사업소  ,창원기상대(155),35.3226,128.2881,14.18,14.9,2,10,0.6
271,1988-01-01,,봉화,경상북도 봉화군춘양면 서동길59 봉화자동기상관측소 ,대구(구 143),36.9436,128.9145,324.67,326.22,1.9,10,0.6
272,1972-11-28,,영주,경상북도 영주시풍기읍 남원로178(성내리 240-55) 영주자동기상관측소,안동기상대(136),36.8718,128.5169,211.32,212.78,1.91,10,0.58
273,1973-01-01,,문경,경상북도 문경시유곡불정로 223문경자동기상관측소  ,대구(구 143),36.6273,128.1488,173.01,174.51,1.8,10,0.6
276,2010-09-01,,청송군,경상북도 청송군청송읍 길안청송로1591-9(덕리 519-1) 청송군공동협력기상관측소,안동기상대(136),36.4351,129.0401,208.65,210.2,1.75,10,0.5
278,1973-01-01,,의성,경상북도 의성군의성읍 홍술로89-14 의성자동기상관측소 ,대구(구 143),36.3561,128.6886,81.44,82.94,1.7,10,0.6
279,1973-01-01,,구미,경상북도 구미시원남로2길 16구미지역기상서비스센터  ,대구(구 143),36.1306,128.3206,49.17,50.67,1.7,10,1.4
281,1972-01-21,,영천,경상북도 영천시망정3길 35영천기상관측소  ,대구(구 143),35.9774,128.9514,96.12,97.62,1.7,10,0.5
284,2011-03-04,,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,울산기상대(152),35.6674,127.909,225.95,227.3,1.5,10,1.3
284,1972-01-24,2011-03-04,거창,경상남도 거창군거창읍 수남로2117 거창지역기상서비스센터 ,거창기상대(284),35.6712,127.911,221.4,222.6,1.5,10,0.5
285,1973-01-01,,합천,경상남도 합천군합천읍 동서로164번 합천자동기상관측소 ,울산기상대(152),35.565,128.1699,32,33.2,1.5,10,0.5
288,1973-01-01,,밀양,경상남도 밀양시점필재로 5밀양자동기상관측소  ,울산기상대(152),35.4915,128.7441,11.21,12.5,2,10,1.3
289,1972-03-30,,산청,경상남도 산청군산청읍 꽃봉산로133번길 3 산청관측소,창원기상대(155),35.413,127.8791,138.07,138.8,1.6,10,0.6
